Date,TLT,GLD,DBC,UUP,SPY,CASH
1990-04-30,67.30808664259928,36.5441182949664,12.601606348179033,27.78173065350824,29.09917689728363,140.5097255905838
1990-05-31,69.84519855595667,36.07706906046921,12.344549756519166,27.73695992297509,31.93368614182411,141.49036638376808
1990-06-30,70.96451263537907,34.99888093402357,12.237417140797392,27.205680587314962,31.717413712094316,142.47785123248815
1990-07-31,70.96451263537907,36.99626170283071,12.648916883698675,26.0267180166085,31.614562192272498,143.42028285261972
1990-08-31,67.4573285198556,38.531561846018285,13.777758598411804,25.841665663738112,28.754684887460332,144.38388787803578
1990-09-30,67.75581227436824,40.58359731247934,15.589760154823523,25.641689734023345,27.35362726492198,145.38404710135757
1990-10-31,68.7258844765343,37.711741381209386,14.677154943867261,24.853724876639784,27.236266647245763,146.36084616781983
1990-11-30,71.41223826714803,38.24338253111576,13.88424753337821,24.75522926946684,28.994892756455176,147.38293274355846
1990-12-31,72.38231046931408,38.03966956713295,13.771844781471849,24.808954146106633,29.801077366963412,148.32004255758622
1991-01-31,72.68079422382672,36.37021698424937,12.660208116949113,24.47466602479239,31.097325046282585,149.19265880796667
1991-02-28,72.60617328519857,36.04228879832581,12.860674442199429,25.092502106149954,33.318512473170316,150.048030051799
1991-03-31,72.30768953068592,35.34171494658002,12.890431267119522,27.462366109038392,34.1261754266322,150.8451602114492
1991-04-30,72.75541516245488,35.55039651944047,12.881030846087983,27.32208448670117,34.20490099907639,151.60692827051702
1991-05-31,72.1584476534296,35.813732789954834,12.680148810349822,27.802623661090383,35.68039395136355,152.37254325828314
1991-06-30,71.11375451263538,36.603741601497966,12.31296916945886,28.662221687326994,34.04539998689661,153.15821418445864
1991-07-31,71.71072202166064,36.0571946249587,12.775440382175947,27.904103983632204,35.631425746104966,153.92400525538093
1991-08-31,73.72548736462095,34.52189448177111,12.738442148757953,27.904103983632204,36.47139887546109,154.65354090528922
1991-09-30,75.44176895306859,35.26718581341557,12.845789324731516,26.83259116620532,35.86107184533816,155.37847937828275
1991-10-31,74.91942238267147,35.52058486617469,12.905665044996596,26.844530027680825,36.34280589946693,156.06635285469702
1991-11-30,74.47169675090254,36.40002863751514,12.531418325812309,26.32220483812733,34.87676976988844,156.70850086904707
1991-12-31,78.65046931407942,35.09328450269853,11.963115268899923,24.931327476230592,38.863662587449205,157.27167204404523
1992-01-31,75.74025270758123,35.1876880713735,12.160953231065816,26.11327476230593,38.13954887184214,157.82048464961557
1992-02-29,74.77018050541517,35.152907809230086,12.126207880291615,26.5609820676375,38.63303346635508,158.37943219941633
1992-03-31,73.50162454873646,33.95547306972133,12.19374071954244,26.757973281983393,37.88145610123791,158.948608283883
1992-04-30,72.97927797833935,33.42383191981496,12.255292691774626,26.74901913587676,38.99343671374139,159.4867155515107
1992-05-31,74.47169675090254,33.53810992400044,12.636365108968974,26.032687447346248,39.18748065689489,160.02664453645076
1992-06-30,74.84480144404333,34.12440577156074,12.646583540960462,24.988037068239258,38.60453345271252,160.55173196383598
1992-07-31,77.30729241877256,35.56033373719573,12.56686099740483,24.4478035864725,40.18158246965593,161.0116457793574
1992-08-31,77.45653429602889,33.98528472298711,12.399302850772765,23.54343482970273,39.35895319886945,161.48126307954718
1992-09-30,78.05350180505417,34.78026214340786,12.551305379150072,24.20604164159345,39.821575479143796,161.9017872021502
1992-10-31,76.11335740072202,33.885912545434515,12.152773121466334,26.15506077747021,39.959000411237355,162.38243313290656
1992-11-30,76.03873646209387,33.38905165767155,12.018149973483997,27.11016969551089,41.319319778980756,162.92370791001628
1992-12-31,73.27776173285199,33.23999339134266,11.978402686839942,27.56683114694909,41.825736064175906,163.39041644830016
1993-01-31,74.91942238267147,33.04124903623747,11.926546155985507,27.59667830063786,42.17542513531049,163.84144207703767
1993-02-28,76.71032490974729,32.74313250357969,12.046351236578612,28.059309182813816,42.74993664026764,164.2766459075548
1993-03-31,76.41184115523467,33.68716819032933,12.298848422887946,27.42058009387411,43.652457393147316,164.72156182355442
1993-04-30,76.56108303249097,35.376495208723426,12.382781711384954,26.713202551450234,42.59724057786935,165.15910347214825
1993-05-31,76.41184115523467,37.239723537834564,12.133342008663622,26.587844505957396,43.73563323510147,165.62361345066367
1993-06-30,79.17281588447653,37.57262033263575,12.060190372819052,27.93992056805873,43.86293837625457,166.08080363362643
1993-07-31,79.84440433212997,40.474287917171495,12.236827100104971,28.465230472981105,43.6866878908164,166.53925585199008
1993-08-31,82.60537906137185,36.97638726732019,11.99511156644807,28.041400890600553,45.34347598336294,166.99029966992254
1993-09-30,82.45613718411553,35.31687190219187,11.685836373508872,27.704128053917437,44.99397742034094,167.4599598877442
1993-10-31,82.53075812274369,36.718019605683445,11.513893151730853,28.378673727283665,45.924716234856554,167.9396628978393
1993-11-30,80.06826714801444,36.83726621874656,11.359557280615334,28.71594656396678,45.48685238889362,168.42948691462468
1993-12-31,78.8743321299639,38.82470976979843,11.494515678991092,28.903983632206042,46.03572150189697,168.9031948465721
1994-01-31,80.21750902527076,37.9502346073356,11.889413822410143,28.530894211096403,47.60108856137673,169.36064099928154
1994-02-28,76.63570397111913,37.93532878070272,11.768160460117455,28.22048381273318,46.30901681988539,169.8898930024043
1994-03-31,72.97927797833935,38.85452142306421,11.75853206881839,27.77576122277049,44.290781495495594,170.44734421381844
1994-04-30,71.63610108303249,37.46827954620553,11.972032929364934,27.49519797809604,44.85867855878383,171.05988935708686
1994-05-31,70.88989169675091,38.48684436611961,12.568470199293253,27.614586592851122,45.59501527489428,171.71918268065065
1994-06-30,69.91981949458483,38.387472188567024,12.879998274876245,26.74901913587676,44.4782643392517,172.4167918602908
1994-07-31,71.56148014440433,38.11916730917502,13.010196117665418,26.823637020098687,45.9373126312606,173.11723507722326
1994-08-31,70.66602888086643,38.4172838418328,12.613675362342207,26.763942712721146,47.8207063135635,173.83855689004503
1994-09-30,68.12891696750903,39.17748100011014,12.584186737736854,26.229678661692137,46.65016350725171,174.63531694245773
1994-10-31,67.4573285198556,38.20860226897235,12.632476204405286,25.57602599590805,47.69831628171507,175.4539199906255
1994-11-30,67.4573285198556,37.90054851855931,12.549642537198702,26.602768082801777,45.961217589227644,176.35860426557716
1994-12-31,67.53194945848377,38.07941843815398,12.843093911568408,26.480394752677817,46.6406,177.31388003868236
1995-01-31,68.87512635379062,37.27450379997797,12.70467572913254,26.262510530749786,46.6406,178.2466249284692
1995-02-28,70.36754512635379,37.47324815508316,12.630853592501126,25.647659164761105,48.4375,179.1749927666383
1995-03-31,70.44216606498195,38.894270294085246,12.879569154372664,24.444818871103625,50.651,180.1081958539645
