,SPX,EPS,TBill,EP,Spread,Signal,SPX_ret,TBill_ret,Strategy_ret
1998-02-27,1049.34,43.746,0.0567969,0.04168906169592316,-0.015107838304076839,0,0.04994568014180345,0.004733075,0.004733075
1998-03-31,1101.75,48.4623,0.0571094,0.04398665759019741,-0.013122742409802587,0,0.009076469253460395,0.004759116666666666,0.004759116666666666
1998-04-30,1111.75,48.1054,0.0571875,0.04326997976163706,-0.013917520238362943,0,-0.018826174949404195,0.004765625,0.004765625
1998-05-29,1090.82,47.8377,0.056875,0.04385480647586219,-0.013020193524137809,0,0.03943822078803105,0.0047395833333333335,0.0047395833333333335
1998-06-30,1133.84,46.5993,0.056875,0.041098655895011646,-0.015776344104988356,0,-0.011615395470260248,0.0047395833333333335,0.0047395833333333335
1998-07-31,1120.67,46.2237,0.056875,0.04124648647683975,-0.015628513523160255,0,-0.14579671089616042,0.0047395833333333335,0.0047395833333333335
1998-08-31,957.28,45.4962,0.05625,0.04752653351161625,-0.00872346648838375,0,0.06239553735584158,0.0046875,0.0046875
1998-09-30,1017.01,44.9191,0.053125,0.04416780562629669,-0.008957194373703306,0,0.08029419573062224,0.004427083333333333,0.004427083333333333
1998-10-30,1098.67,44.695,0.0521953,0.0406810052153968,-0.011514294784603203,0,0.059126034204993294,0.004349608333333334,0.004349608333333334
1998-11-30,1163.63,44.612,0.0528266,0.03833864716447668,-0.014487952835523323,0,0.056375308302467175,0.004402216666666667,0.004402216666666667
1998-12-31,1229.23,44.228,0.050656299999999994,0.035980247797401624,-0.01467605220259837,0,0.04100941239637823,0.004221358333333333,0.004221358333333333
1999-01-29,1279.64,44.8156,0.0496953,0.035022037448032256,-0.014673262551967742,0,-0.032282516957894525,0.004141275,0.004141275
1999-02-26,1238.33,51.4018,0.0502625,0.041508967722658746,-0.008753532277341255,0,0.038794182487705164,0.004188541666666667,0.004188541666666667
1999-03-31,1286.37,51.8743,0.05,0.040326111460932706,-0.009673888539067296,0,0.037943981902563095,0.004166666666666667,0.004166666666666667
1999-04-30,1335.18,51.8439,0.049887499999999994,0.03882914663191479,-0.011058353368085201,0,-0.02497041597387628,0.004157291666666666,0.004157291666666666
1999-05-31,1301.84,52.1952,0.0506625,0.04009340625576108,-0.010569093744238922,0,0.05443833343575255,0.004221875,0.004221875
1999-06-30,1372.71,53.2309,0.053675,0.03877796475584792,-0.014897035244152083,0,-0.03204609859329355,0.004472916666666667,0.004472916666666667
