Date,cad_oas,us_hy_oas,us_ig_oas,tsx,vix,us_3m_10y,us_growth_surprises,us_inflation_surprises,us_lei_yoy,us_hard_data_surprises,us_equity_revisions,us_economic_regime,cad_ig_er_index,us_hy_er_index,us_ig_er_index,spx_1bf_eps,spx_1bf_sales,tsx_1bf_eps,tsx_1bf_sales
4/29/2016,141.023686,577.553214,146.018896,13951.45,15.7,245.858,-0.558,-0.48096,0.9,-0.4073,-0.05,0.96,113.2978267,152.4274047,106.0240518,121.5911,1160.1002,806.8008,8351.9987
4/30/2016,141.023686,577.553214,146.018896,13951.45,15.7,245.858,-0.558,-0.48096,0.9,-0.4073,-0.05,0.97,113.2978267,152.4274047,106.0240518,121.5911,1160.1002,806.8008,8351.9987
5/31/2016,148.242485,571.127785,147.705016,14065.78,14.19,235.8,-0.37684,-0.30054,0.5,0.1206,-0.11,0.99,112.904502,153.5504514,105.8556309,122.8073,1166.2657,829.1118,8733.3234
6/30/2016,154.620688,594.348725,155.241354,14064.54,15.63,202.096,-0.41045,-0.2867,0,-0.1478,-0.26,0.99,112.7381198,152.6900864,105.4829679,123.9393,1175.861,832.4591,8973.6309
7/29/2016,148.52607,536.1385,144.70489,14582.74,11.87,192.396,-0.33681,-0.22797,0,0.0166,0.04,0.99,113.4746902,156.8243677,106.5385272,124.7663,1184.8014,854.3697,8826.2516
7/31/2016,148.52607,536.1385,144.70489,14582.74,11.87,192.396,-0.33681,-0.22797,0.8,0.0166,0.04,0.98,113.4746902,156.8243677,106.5385272,124.7663,1184.8014,854.3697,8826.2516
8/31/2016,143.791088,491.175009,135.450334,14597.95,13.42,189.716,-0.27818,-0.44609,0.8,0.0092,-0.01,0.96,113.9619681,160.8946751,107.4581531,125.3386,1191.9403,866.5966,8608.8874
9/30/2016,143.292239,482.202228,138.314442,14725.86,13.29,203.642,-0.33837,-0.28079,1.1,-0.1386,0.02,0.99,114.1993329,161.8110677,107.4188838,126.2622,1196.3576,890.4363,8692.5754
10/31/2016,139.511698,477.410868,132.354229,14787.27,17.06,227.541,-0.29424,-0.22075,0.6,-0.0738,-0.09,0.97,114.6235566,163.255772,108.011685,127.2722,1202.9427,919.599,8730.8704
11/30/2016,129.564418,451.062768,128.276805,15082.85,13.33,255.152,-0.06723,-0.55377,0.5,0.1761,0,0.99,115.3452841,165.0965704,108.4818346,128.1303,1207.3039,921.105,8883.727
12/30/2016,123.766482,409.30205,122.250057,15287.59,14.04,256.342,-0.04056,-0.62064,0.5,-0.0213,0.05,0.99,115.9515235,168.2380483,109.3798844,130.6099,1214.8578,941.1902,9066.6211
12/31/2016,123.766482,409.30205,122.250057,15287.59,14.04,256.342,-0.04056,-0.62064,1.1,-0.0213,0.05,1,115.9515235,168.2380483,109.3798844,130.6099,1214.8578,941.1902,9066.6211
1/31/2017,116.882166,387.938453,120.553435,15385.96,11.99,254.43,0.01292,-0.47415,2.3,-0.0474,-0.02,0.99,116.5238416,170.3296174,109.4380308,131.5823,1217.4885,947.6618,9079.9449
2/28/2017,111.412262,363.652118,114.596205,15399.24,12.92,238.514,0.18367,-0.17526,2.9,0.0071,0.08,0.99,116.9885301,172.2549807,109.9636547,131.7859,1220.5731,932.2029,8797.6693
3/31/2017,110.212874,382.038809,118.186137,15547.75,12.37,225.274,0.21744,-0.04891,3.4,0.075,0.09,1,117.1647915,171.8311554,109.7927804,133.5357,1228.9079,950.4947,8756.1296
4/28/2017,106.711197,368.770117,115.287545,15586.13,10.82,214.826,0.16967,-0.31776,3.4,-0.0051,0.18,1,117.7761482,172.9238363,110.046989,135.0317,1230.3095,961.4186,8865.4338
4/30/2017,106.711197,368.770117,115.287545,15586.13,10.82,214.826,0.16967,-0.31776,3.3,-0.0051,0.18,1,117.7761482,172.9238363,110.046989,135.0317,1230.3095,961.4186,8865.4338
5/31/2017,114.781655,361.756418,112.565272,15349.91,10.41,188.691,0.13971,-0.16872,3.7,-0.0798,0.03,0.99,117.281048,173.7804439,110.4645293,136.0661,1236.0292,960.9294,9048.6772
6/30/2017,109.350333,362.087075,108.286217,15182.19,11.18,181.841,-0.00055,-0.49136,4.3,-0.5551,-0.11,0.99,117.8452403,174.384765,111.0334961,137.3831,1240.0012,957.0485,9228.4251
7/31/2017,104.340352,350.650949,101.596384,15143.87,10.26,182.248,-0.01809,-0.61078,4,-0.6405,0.01,0.99,118.250739,175.8741613,111.71567,138.6864,1243.0644,946.5294,9165.8572
8/31/2017,109.291041,374.898296,109.980913,15211.87,10.59,172.887,0.04019,-0.70493,4.6,-0.6792,0.09,0.99,118.0402754,174.723758,111.039536,139.6691,1247.153,955.5389,8862.0883
9/29/2017,106.422398,347.731919,100.873546,15634.94,9.51,180.172,0.02301,-0.72356,4.6,-0.7492,-0.03,0.99,118.2689468,177.2325944,112.0266993,140.6911,1251.5504,951.3931,8760.7425
9/30/2017,106.422398,347.731919,100.873546,15634.94,9.51,180.172,0.02301,-0.72356,4.7,-0.7492,-0.03,1,118.2689468,177.2325944,112.0266993,140.6911,1251.5504,951.3931,8760.7425
10/31/2017,101.872602,336.634891,94.873523,16025.59,10.18,174.566,0.28833,-0.57108,6.1,-0.2763,0.12,1,118.826698,178.1460513,112.6260223,142.3239,1264.8035,976.9471,8937.2396
11/30/2017,100.825606,344.429185,96.99653,16067.48,11.28,156.317,0.46218,-0.36964,6.3,0.2701,0.11,1,119.0695596,178.0850919,112.5843049,143.8554,1276.3509,986.4532,8772.9653
12/29/2017,96.823665,341.689786,93.063802,16209.13,11.04,135.142,0.62627,-0.40449,6.3,0.5865,0.16,1,119.439416,178.4999989,113.1675315,146.7649,1287.5867,990.7364,8693.8227
12/31/2017,96.823665,341.689786,93.063802,16209.13,11.04,135.142,0.62627,-0.40449,6.5,0.5865,0.16,1,119.439416,178.4999989,113.1675315,146.7649,1287.5867,990.7364,8693.8227
1/31/2018,88.53168,319.487632,85.905907,15951.67,13.54,147.207,0.51044,-0.40037,6.7,0.7116,0.18,0.99,120.176952,181.1661552,113.9856932,157.1459,1299.1262,1006.2892,8946.7698
2/28/2018,96.410381,334.221379,95.2225,15442.68,19.85,146.474,0.47358,-0.04044,7,0.2993,0.07,1,119.711081,180.2285804,113.2837998,159.4984,1312.1437,1028.6139,9163.5968
3/30/2018,103.602673,351.795844,108.347177,15367.29,19.97,126.089,0.50899,0.0992,7,0.2195,0,1,119.2326795,178.2023662,112.2777541,161.2146,1318.4941,1031.6602,9052.9322
3/31/2018,103.602673,351.795844,108.347177,15367.29,19.97,126.089,0.50899,0.0992,6.8,0.2195,0,1,119.2326795,178.2023662,112.2777541,161.2146,1318.4941,1031.6602,9052.9322
4/30/2018,101.65487,335.880846,107.143049,15607.88,15.93,131.641,0.47202,0.20874,7.1,0.1573,0.12,1,119.6649809,180.3418012,112.3322974,163.5527,1327.0662,1042.8256,8965.6914
5/31/2018,107.970374,360.514665,114.241484,16061.5,15.43,112.046,0.41285,0.03998,7.3,-0.0088,0.04,1,119.4715261,179.1899389,111.8355633,165.2977,1334.943,1076.4009,9139.2508
6/29/2018,108.024602,361.128419,122.495289,16277.73,16.09,106.653,0.40951,0.18036,7.3,-0.0487,0.01,1,119.4867176,179.9041049,111.1738365,167.2953,1346.0704,1094.0438,9211.0328
6/30/2018,108.024602,361.128419,122.495289,16277.73,16.09,106.653,0.40951,0.18036,7.3,-0.0487,0.01,1,119.4867176,179.9041049,111.1738365,167.2953,1346.0704,1094.0438,9211.0328
7/31/2018,106.852003,335.972807,108.581336,16434.01,12.83,105.677,0.39997,0.1292,7.7,-0.0522,0.09,0.99,119.7746741,182.1928533,112.6421592,169.2822,1357.3428,1100.7588,9280.6354
8/31/2018,111.036213,336.180366,113.018334,16262.88,12.86,91.756,0.28789,0.06596,7.3,-0.2682,-0.03,1,119.937605,182.4665206,112.1652904,170.3607,1363.5963,1125.8625,9298.7299
9/28/2018,110.553296,314.686094,105.123784,16073.14,12.12,100.165,0.26241,-0.28809,7.3,-0.3457,-0.17,1,120.0623069,184.3378414,113.0383994,172.4142,1379.829,1132.7085,9265.5741
9/30/2018,110.553296,314.686094,105.123784,16073.14,12.12,100.165,0.26241,-0.28809,7.6,-0.3457,-0.17,1,120.0623069,184.3378414,113.0383994,172.4142,1379.829,1132.7085,9265.5741
10/31/2018,116.215608,369.582463,117.463758,15027.28,21.23,105.982,0.2341,-0.32626,6.5,-0.3733,-0.25,1,119.7188493,181.4248624,112.133315,173.3918,1391.6452,1138.8525,9393.1965
11/30/2018,132.883313,416.666022,137.096146,15197.82,18.07,94.25,0.19103,-0.20436,5.9,-0.3494,-0.28,0.99,118.6662692,178.6445821,110.8160177,172.5712,1395.878,1144.993,9511.5782
12/31/2018,148.281999,526.902688,152.920367,14322.86,25.42,64.68,0.09046,-0.15667,5,-0.1895,-0.41,0.98,117.6785016,172.1091295,109.6064854,171.9,1391.4946,1134.4275,9435.9735
1/31/2019,131.563,421.3804,126.7332,15540.6,16.57,59.892,0.07936,-0.23402,4,-0.0359,-0.31,0.95,119.0665278,179.1300392,111.6111025,168.9368,1380.3995,1098.6961,9231.0403
2/28/2019,125.7112,377.4613,119.7597,15999.01,14.78,63.906,-0.07719,-0.30676,3.5,-0.4812,-0.24,0.95,119.5435399,182.2657075,112.26998,168.7357,1388.899,1087.4273,9406.0884
3/29/2019,126.2802,387.3935,118.4511,16102.09,13.71,41.8,-0.01449,-0.5312,3.5,-0.514,-0.17,0.95,119.6306726,181.9696953,112.5967191,170.5704,1405.188,1090.7499,9715.5951
3/31/2019,126.2802,387.3935,118.4511,16102.09,13.71,41.8,-0.01449,-0.5312,3.4,-0.514,-0.17,1,119.6306726,181.9696953,112.5967191,170.5704,1405.188,1090.7499,9715.5951
4/30/2019,116.0005,353.8221,110.1635,16580.73,13.12,50.353,0.00217,-0.62925,3,-0.2407,0.01,0.98,120.4092183,184.5027734,113.6772221,171.9019,1411.7579,1127.823,9828.2208
